series,code,,set_name,supertype,rarity,card_number,card_title,pokemon,release_date,normal_price,holo_price,rev_holo_price,price
XY,,xy12-1,Evolutions,Pokémon,Rare Holo EX,1,Venusaur-EX,3,11/2/2016,,3.06,,3.06
XY,,xy12-2,Evolutions,Pokémon,Rare Holo EX,2,M Venusaur-EX,3,11/2/2016,,5.76,,5.76
XY,,xy12-3,Evolutions,Pokémon,Common,3,Caterpie,10,11/2/2016,0.07,,0.41,0.41
XY,,xy12-4,Evolutions,Pokémon,Uncommon,4,Metapod,11,11/2/2016,0.09,,0.33,0.33
XY,,xy12-5,Evolutions,Pokémon,Common,5,Weedle,13,11/2/2016,0.05,,0.36,0.36
XY,,xy12-6,Evolutions,Pokémon,Uncommon,6,Kakuna,14,11/2/2016,0.08,,0.35,0.35
XY,,xy12-7,Evolutions,Pokémon,Rare,7,Beedrill,15,11/2/2016,0.16,,1.3,1.3
XY,,xy12-8,Evolutions,Pokémon,Common,8,Tangela,114,11/2/2016,0.08,,0.35,0.35
XY,,xy12-9,Evolutions,Pokémon,Common,9,Charmander,4,11/2/2016,0.16,,1.23,1.23
XY,,xy12-10,Evolutions,Pokémon,Uncommon,10,Charmeleon,5,11/2/2016,0.15,,1.11,1.11
XY,,xy12-11,Evolutions,Pokémon,Rare Holo,11,Charizard,6,11/2/2016,,54.95,48.18,54.95
XY,,xy12-12,Evolutions,Pokémon,Rare Holo EX,12,Charizard-EX,6,11/2/2016,,9.21,,9.21
XY,,xy12-13,Evolutions,Pokémon,Rare Holo EX,13,M Charizard-EX,6,11/2/2016,,25.46,,25.46
XY,,xy12-14,Evolutions,Pokémon,Common,14,Vulpix,37,11/2/2016,0.07,,0.56,0.56
XY,,xy12-15,Evolutions,Pokémon,Rare Holo,15,Ninetales,38,11/2/2016,,3.14,2.47,3.14
XY,,xy12-16,Evolutions,Pokémon,Rare BREAK,16,Ninetales BREAK,38,11/2/2016,,1.46,,1.46
XY,,xy12-17,Evolutions,Pokémon,Common,17,Growlithe,58,11/2/2016,0.09,,0.42,0.42
XY,,xy12-18,Evolutions,Pokémon,Rare,18,Arcanine,59,11/2/2016,0.25,,1.71,1.71
XY,,xy12-19,Evolutions,Pokémon,Common,19,Ponyta,77,11/2/2016,0.06,,0.34,0.34
XY,,xy12-20,Evolutions,Pokémon,Uncommon,20,Magmar,126,11/2/2016,0.12,,0.41,0.41
XY,,xy12-21,Evolutions,Pokémon,Rare Holo EX,21,Blastoise-EX,9,11/2/2016,,3.62,,3.62
XY,,xy12-22,Evolutions,Pokémon,Rare Holo EX,22,M Blastoise-EX,9,11/2/2016,,8.75,,8.75
XY,,xy12-23,Evolutions,Pokémon,Common,23,Poliwag,60,11/2/2016,0.07,,0.43,0.43
XY,,xy12-24,Evolutions,Pokémon,Uncommon,24,Poliwhirl,61,11/2/2016,0.12,,0.48,0.48
XY,,xy12-25,Evolutions,Pokémon,Rare Holo,25,Poliwrath,62,11/2/2016,,1.83,1.83,1.83
XY,,xy12-26,Evolutions,Pokémon,Rare Holo EX,26,Slowbro-EX,80,11/2/2016,,1.62,,1.62
XY,,xy12-27,Evolutions,Pokémon,Rare Holo EX,27,M Slowbro-EX,80,11/2/2016,,4.21,,4.21
XY,,xy12-28,Evolutions,Pokémon,Common,28,Seel,86,11/2/2016,0.06,,0.38,0.38
XY,,xy12-29,Evolutions,Pokémon,Rare,29,Dewgong,87,11/2/2016,0.2,,0.99,0.99
XY,,xy12-30,Evolutions,Pokémon,Common,30,Staryu,120,11/2/2016,0.06,,0.35,0.35
XY,,xy12-31,Evolutions,Pokémon,Rare,31,Starmie,121,11/2/2016,0.19,,1.24,1.24
XY,,xy12-32,Evolutions,Pokémon,Rare BREAK,32,Starmie BREAK,121,11/2/2016,,1.39,,1.39
XY,,xy12-33,Evolutions,Pokémon,Common,33,Magikarp,129,11/2/2016,0.09,,0.55,0.55
XY,,xy12-34,Evolutions,Pokémon,Rare Holo,34,Gyarados,130,11/2/2016,,2.91,2.92,2.92
XY,,xy12-35,Evolutions,Pokémon,Common,35,Pikachu,25,11/2/2016,0.19,,1.38,1.38
XY,,xy12-36,Evolutions,Pokémon,Rare Holo,36,Raichu,26,11/2/2016,,3.65,3.33,3.65
XY,,xy12-37,Evolutions,Pokémon,Common,37,Magnemite,81,11/2/2016,0.07,,0.36,0.36
XY,,xy12-38,Evolutions,Pokémon,Rare Holo,38,Magneton,82,11/2/2016,,1.52,1.37,1.52
XY,,xy12-39,Evolutions,Pokémon,Common,39,Voltorb,100,11/2/2016,0.06,,0.38,0.38
XY,,xy12-40,Evolutions,Pokémon,Rare,40,Electrode,101,11/2/2016,0.16,,1.16,1.16
XY,,xy12-41,Evolutions,Pokémon,Common,41,Electabuzz,125,11/2/2016,0.13,,0.33,0.33
XY,,xy12-42,Evolutions,Pokémon,Rare Holo,42,Zapdos,145,11/2/2016,,2.89,3.01,3.01
XY,,xy12-43,Evolutions,Pokémon,Common,43,Nidoran ♂,32,11/2/2016,0.08,,0.29,0.29
XY,,xy12-44,Evolutions,Pokémon,Uncommon,44,Nidorino,33,11/2/2016,0.1,,0.39,0.39
XY,,xy12-45,Evolutions,Pokémon,Rare Holo,45,Nidoking,34,11/2/2016,,3.03,2.12,3.03
XY,,xy12-46,Evolutions,Pokémon,Rare BREAK,46,Nidoking BREAK,34,11/2/2016,,1.55,,1.55
XY,,xy12-47,Evolutions,Pokémon,Common,47,Gastly,92,11/2/2016,0.08,,0.4,0.4
XY,,xy12-48,Evolutions,Pokémon,Uncommon,48,Haunter,93,11/2/2016,0.1,,0.34,0.34
XY,,xy12-49,Evolutions,Pokémon,Common,49,Drowzee,96,11/2/2016,0.07,,0.36,0.36
XY,,xy12-50,Evolutions,Pokémon,Uncommon,50,Koffing,109,11/2/2016,0.09,,0.33,0.33
XY,,xy12-51,Evolutions,Pokémon,Rare,51,Mewtwo,150,11/2/2016,0.86,,3.04,3.04
